2022-12-31 21:39:11,029 p=57329 u=craig n=ansible | PLAY [Create an LXC container in Proxmox] *****************************************************************************************************************************
2023-01-09 22:06:46,151 p=3559 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:06:46,180 p=3559 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] ***********************************************************************************************************************************
2023-01-09 22:06:47,995 p=3559 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:06:48,013 p=3559 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ****************************************************************************************************
2023-01-09 22:06:48,022 p=3559 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-09 22:06:48,039 p=3559 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ************************************************************************************************
2023-01-09 22:06:48,049 p=3559 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-09 22:06:48,074 p=3559 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] *********************************************************************************************************************
2023-01-09 22:06:48,533 p=3559 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-09 22:06:48,548 p=3559 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ************************************************************************************************************************************
2023-01-09 22:06:54,812 p=3559 u=craig n=ansible | changed: [192.168.1.99]
2023-01-09 22:06:54,831 p=3559 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ************************************************************************************************************************************
2023-01-09 22:06:54,842 p=3559 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-09 22:06:54,857 p=3559 u=craig n=ansible | TASK [pm_create_lxc : Start container] **************************************************************************************************************************************************
2023-01-09 22:06:59,066 p=3559 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed from community.general
 in version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-09 22:06:59,066 p=3559 u=craig n=ansible | changed: [192.168.1.99]
2023-01-09 22:06:59,085 p=3559 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] ***********************************************************************************************************************************
2023-01-09 22:06:59,114 p=3559 u=craig n=ansible | changed: [192.168.1.99]
2023-01-09 22:06:59,148 p=3559 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] ****************************************************************************************************************
2023-01-09 22:07:03,211 p=3559 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.111]
2023-01-09 22:07:03,241 p=3559 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ***************************************************************************************************************************
2023-01-09 22:07:04,961 p=3559 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.111]
2023-01-09 22:07:04,994 p=3559 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] **********************************************************************************************************************
2023-01-09 22:07:34,971 p=3559 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.111]
2023-01-09 22:07:35,001 p=3559 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] ********************************************************************************************************************************
2023-01-09 22:07:35,019 p=3559 u=craig n=ansible | fatal: [192.168.1.99 -> {{machine_ip | regex_replace('/.*', '')}}]: FAILED! => {"msg": "The task includes an option with an undefined variable. The error was: 'rsa_key_path' is undefined\n\nThe error appears to be in '/Users/craig/Projects/automation2/ansible/roles/pm_create_lxc/tasks/main.yaml': line 114, column 3, but may\nbe elsewhere in the file depending on the exact syntax problem.\n\nThe offending line appears to be:\n\n\n- name: add rsa public key to remote host\n  ^ here\n"}
2023-01-09 22:07:35,020 p=3559 u=craig n=ansible | PLAY RECAP ******************************************************************************************************************************************************************************
2023-01-09 22:07:35,020 p=3559 u=craig n=ansible | 192.168.1.99               : ok=10   changed=6    unreachable=0    failed=1    skipped=3    rescued=0    ignored=0   
2023-01-09 22:14:09,354 p=4295 u=craig n=ansible | PLAY [Create an LXC container in Proxmox] ***********************************************************************************************************************************************
2023-01-09 22:14:09,375 p=4295 u=craig n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************************************************
2023-01-09 22:14:11,986 p=4295 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:14:12,003 p=4295 u=craig n=ansible | TASK [ansible.builtin.include_vars] *****************************************************************************************************************************************************
2023-01-09 22:14:12,014 p=4295 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:14:12,044 p=4295 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] ***********************************************************************************************************************************
2023-01-09 22:14:13,601 p=4295 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:14:13,619 p=4295 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ****************************************************************************************************
2023-01-09 22:14:15,024 p=4295 u=craig n=ansible | ok: [192.168.1.99]
2023-01-09 22:14:15,042 p=4295 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ************************************************************************************************
2023-01-09 22:14:15,134 p=4295 u=craig n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: If you are using a module and expect the file to exist on the remote, see the remote_src option
